code;label;department;ca_ht;ca_ttc;quantity;avg_weekly_quantity;nb_lines;cumulative_pct;is_priority_80
030001251;BOISS GAZ BTE 33CL SPRITE;LIMES (sevem up sprite..);4466196.0;5269718.0;18376.0;500.514;708;40.18;True
100135091;EAU MIN NAT PET 1,5L CELESTE;EAUX MINERALES PLATES IMP;4330702.0;5111450.0;16793.0;457.397;1628;40.41;True
100362462;HUIL VEGET 1,5L DINOR;HUILES PALM VEGETALE;4003391.0;4724125.0;2715.0;73.949;976;40.62;True
100070223;BOISS ENERG 250ML RED BULL;ENERGETIQUES(atlon...);3978043.0;4693950.0;5041.0;137.304;392;40.84;True
030002155;BOISS GAZ OR BTE 33CL FANTA;ORANGE (fanta,,,);3918313.0;4623375.0;14697.0;400.307;517;41.05;True
100367350;PAIN CHOCO 20%PB 60G 200/C 56/P NEU;pains au chocolat;3865617.0;4561200.0;11403.0;310.588;4265;41.25;True
100334422;HUIL VEGET 5L AYA;HUILES PALM VEGETALE;3823559.0;4512133.0;772.0;21.027;522;41.46;True
010010051;FARINE PATISSE 1KG T45 GMA;FARIN MENAG T55/PATIS T45;3817750.0;3817750.0;6148.0;167.455;979;41.66;True
100270539;CROISSANT PB 23% 50G 200/C 56/P NEU;croissants;3803085.0;4481750.0;12805.0;348.774;4097;41.87;True
003003212;CAFE SOL NESCAFE NORMAL BTE 200G NE;CAFE SOLUBLE INST LYOPHIL;3795986.0;4479300.0;1237.0;33.693;330;42.07;True
D60699699699;AUTRES DIVERS        0400;AUTRES DIVERS        0400;3773773.0;4442345.0;791.0;21.545;502;42.27;True
100478757;CREME VEGET CUISINE 1L GRAN CUCINA;CREME FRAICHE UHT;3760799.0;4437788.0;1500.0;40.856;400;42.47;True
100017170;WHISKY JACK D 40% 70CL;LIQUEUR DE WHISKY;3609064.0;4258600.0;199.0;5.42;128;42.67;True
2821000000003;TOMATE ROMA LOCALE;TOMATES;3575653.0;3575653.0;4767.58;129.856;2776;42.86;True
100325217;EAU MIN NAT 33CL BTLE CELESTE;EAUX MINERALES PLATES IMP;3567961.0;4207500.0;33660.0;916.809;780;43.05;True
100317387;RIZ VIET PARF 4 5KG RIZIERE;RIZ LONG 0% BRISURE;3532250.0;3532250.0;1117.0;30.424;545;43.24;True
100512859;EAU MIN.PET 1.5L KIRENE;EAUX MINERALES PLATES IMP;3412211.0;4031625.0;12805.0;348.774;1092;43.42;True
100300125;BAGUETTE 174g  (S2P);PAIN BLANC;3209400.0;3209400.0;21396.0;582.77;10179;43.6;True
100097495;INSECT DOUBLE ACTION 750 ML ORO;insecticides anti volants;3179100.0;3179100.0;1349.0;36.743;571;43.77;True
037080001;WHISKY J WLKR RED 75CL;WHISKY BLENDED ECOSSAIS;3130843.0;3694500.0;299.0;8.144;195;43.93;True
100248835;SAC POUB 130LX10 JARDNFL CLASS CO;SAC POUBELLE         2762;3067757.0;3619980.0;1201.0;32.712;335;44.1;True
032020300;EAU MIN 0,50L VOLVIC;EAUX MINERALES PLATES IMP;2872124.0;3389238.0;4880.0;132.918;131;44.25;True
032020102;EAU MIN NAT PET 1,5L AWA;EAUX MINERALES PLATES IMP;2829506.0;3339150.0;8366.0;227.868;550;44.4;True
100014048;OEUFS PLT DE 30 COQ 60G;OEUFS FRAIS LOCAUX;2807441.0;2807441.0;755.0;20.564;674;44.56;True
100344749;CHAMP P&M 3/1 LORD 2,25KG ALP;CHAMPIGNONS PIEDS MORCEAU;2793010.0;3295680.0;584.0;15.907;270;44.71;True
100455081;RIZ VIET PREMIUM 5KG DINOR (JAUNE);RIZ LONG 0% BRISURE;2783700.0;2783700.0;772.0;21.027;192;44.85;True
D20220999999;GENERIQUE CHARCUT  COUPE2;GENERIQUE CHARCUT  COUPE2;2748761.0;3241711.0;1197.0;32.603;1178;45.0;True
100139818;EAU MIN PACK/6 BTL 1 5L VOLVIC;EAUX MINERALES PLATES IMP;2745792.0;3240000.0;432.0;11.767;215;45.15;True
100027693;LAIT STER 1/2 ECR 1L EURO CANDIA;LAIT LIQUIDE � ECREME;2663940.0;2904100.0;2983.0;81.249;698;45.29;True
100266536;RIZ JASMIN THAI 5KG SAVEURS DAILLEU;RIZ LONG 0% BRISURE;2661950.0;2661950.0;392.0;10.677;200;45.44;True
050051255;LESS PDRE SACHT EXT FRAICH 900G OMO;less pdre main;2595807.0;3062950.0;1576.0;42.926;774;45.57;True
100049820;PAIN DE MIE SM (ADEAL);PAINS SPECIAUX;2592500.0;2592500.0;1037.0;28.245;229;45.71;True
D20216999999;GENERIQUE FROMAGE COUPE 2;GENERIQUE FROMAGE COUPE 2;2589115.0;3055185.0;456.0;12.42;471;45.85;True
100073704;PAP TOIL 10X10 LOTUS;papier toilette ouate;2588428.0;3054048.0;1625.0;44.261;752;45.99;True
100516183;CREME UHT 18% 1L CANDIA;CREME FRAICHE UHT;2513378.0;2965807.0;821.0;22.362;336;46.13;True
D20208999999;GENERIQUE BOUCHERIE LS 2;GENERIQUE BOUCHERIE LS 2;2484891.0;2928053.0;602.0;16.397;528;46.26;True
100512854;EAU MIN.PET 500ML  KIRENE;EAUX MINERALES PLATES IMP;2465173.0;2913695.0;17622.0;479.977;680;46.39;True
D20232011;GENERIQUE BOISSON PATISSERIE;PAIN BLANC;2429567.0;2867347.0;6102.0;166.202;4084;46.52;True
100021984;SUCRE PDRE BLC 1KG SHT SODIMA;SUCRES SEMOULE BLANC;2390041.0;2818375.0;3221.0;87.732;424;46.65;True
100114654;EAU MIN PETIL PET 1L SAN PELLEGR;EAUX GAZ/PETIL;2363128.0;2788537.0;2307.0;62.837;332;46.78;True
100047842;SAV LIQ CITRON 4L SUPER CLEAN;Nettoy multi usage liq;2311764.0;2728375.0;949.0;25.848;654;46.9;True
100442865;BIERE DESPERADOS 5 9% ALC BTE 50CL;BIERE BLONDE IMPORT BLLE;2258338.0;2664900.0;3362.0;91.572;311;47.02;True
100464967;LITIERE CHT 10L PXM;LITIERE CHATS;2254350.0;2660000.0;950.0;25.875;362;47.14;True
037084022;BAILEY S 75CL;LIQUEURS DE CREME;2194980.0;2590000.0;180.0;4.903;159;47.26;True
100660131;VODKA TROPICAL MIX 18% 25CL;VODKAS;2141135.0;2526600.0;5227.0;142.37;244;47.38;True
022022029;SARD HUILE 1/4 CLUB;SARDINE HUIL ARACH/TOURN;2138073.0;2522800.0;6307.0;171.786;1498;47.49;True
100045266;LAIT C N S 380G BONNET ROUGE;LAIT CONCENTRE NON SUCRE;2127074.0;2318600.0;2276.0;61.992;219;47.6;True
100416346;EAU DE SOURCE BEAUPRE 1 5L BTLE;EAUX MINERALES PLATES IMP;2092805.0;2469525.0;4236.0;115.377;313;47.72;True
037081001;GIN GORDON S 75CL;GINS (alcools etrangers);2065522.0;2437340.0;247.0;6.728;175;47.83;True
100065547;RIZ THAIL PAR LG 5KG 92% UNCLE;RIZ LONG 0% BRISURE;2029350.0;2029350.0;489.0;13.319;179;47.94;True
100620484;BIERE BEAUFORT BTE 33CL SOLIBRA;BIERE BLONDE LOCAL BLLE;2025232.0;2389500.0;5463.0;148.798;471;48.04;True
031010280;BIERE BLDE EXT 4,5�BTL 33CL CORON;BIERE BLONDE IMPORT BLLE;1996823.0;2356200.0;3565.0;97.101;187;48.15;True
100655583;"TV 70"" LED UHD/SMART/3HDMI-2USB�SSG";TV FORMATS SPECIAUX  3163;1979322.0;2335600.0;4.0;0.109;6;48.26;True
100146901;MOUCHOIR BTE PAPYRUS 6*200;mouchoirs papiers boites;1976275.0;2332250.0;491.0;13.374;307;48.36;True
100126401;WHISKY JACK D 40% 35CL;LIQUEUR DE WHISKY;1945420.0;2295600.0;202.0;5.502;114;48.47;True
100191460;RIZ THAIL ROYAL DANCER 5KG JASMIN;RIZ LONG 0% BRISURE;1945000.0;1945000.0;313.0;8.525;144;48.57;True
100083225;LAIT PDR ENTIER SHT 16G BONNET ROUG;LAIT EN POUDRE ENTIER;1938509.0;2110550.0;23278.0;634.031;1613;48.68;True
100385748;EAU SOURC PET 33CL CRISTALINE;EAUX MINERALES PLATES IMP;1927470.0;2267775.0;22535.0;613.794;864;48.78;True
037080053;WHISKY J WLKR RED 37 5CL;WHISKY BLENDED ECOSSAIS;1925798.0;2272550.0;301.0;8.198;131;48.88;True
100488087;BOISS GAZ PET 30CL COCA COLA;COLAS (coca cola pepsi..);1920102.0;2271175.0;11218.0;305.549;1361;48.99;True
100517480;OEUF PLT DE 30 FILME (SBV);OEUFS FRAIS LOCAUX;1905000.0;1905000.0;508.0;13.837;428;49.09;True
